NAME,year,NDVI,precip_mm
Bulloch,2019,0.6519975801778408,551.7005121415675
Berrien,2019,0.6431344448871507,494.8899574634024
Wilcox,2019,0.6744553344210237,561.1221357211298
Dooly,2019,0.6046031442577136,470.4243697336653
Turner,2019,0.6258843166627281,609.5473589003054
Irwin,2019,0.6138114765620993,485.3755523508429
Mitchell,2019,0.6438048285462243,624.7058516669225
Worth,2019,0.6435333910896641,657.1429174446746
Crisp,2019,0.6256627165978071,655.6837098492404
Coffee,2019,0.6371920599642045,581.8043389681498
Colquitt,2019,0.6206254682378449,570.2510699439975
Brooks,2019,0.6711880827771699,579.5944962617084
Bulloch,2020,0.6770261511960417,747.347526838234
Berrien,2020,0.6478067128263727,887.3944315814999
Wilcox,2020,0.6707063317125163,733.6824227516012
Dooly,2020,0.5931460348789598,852.8278824270653
Turner,2020,0.6055246368355784,760.3563564387985
Irwin,2020,0.611566682559678,701.3945485513844
Mitchell,2020,0.5832710365097388,870.5895740517554
Worth,2020,0.6127895157325397,804.0256277481974
Crisp,2020,0.5943655766316742,814.9226675344311
Coffee,2020,0.6571373032798007,727.9374812780543
Colquitt,2020,0.6059949163935305,887.0374993789909
Brooks,2020,0.6554306346666305,936.739522050634
Bulloch,2021,0.6502247060186518,780.6691965384198
Berrien,2021,0.642652686951095,924.1811033191896
Wilcox,2021,0.6352359130898665,722.4382735714667
Dooly,2021,0.5521605487269842,762.5480199046347
Turner,2021,0.5853391372736453,800.4645351962586
Irwin,2021,0.5954289510000808,959.843696841736
Mitchell,2021,0.5801457428442375,908.670360440682
Worth,2021,0.6003476472733769,859.0231599959724
Crisp,2021,0.5621564114502061,677.6958103130519
Coffee,2021,0.6602019931754773,900.9615789989258
Colquitt,2021,0.6094249958610849,1025.0482595783997
Brooks,2021,0.6516731621804671,1036.547925744596
Bulloch,2022,0.6648232131787717,724.9108197242564
Berrien,2022,0.649013393548671,755.0798665446133
Wilcox,2022,0.6501161353899728,616.4850553156865
Dooly,2022,0.5756897777698445,623.9880262560098
Turner,2022,0.6059646877986989,694.735816305583
Irwin,2022,0.6102966067393396,684.7876807986269
Mitchell,2022,0.6472026460397252,701.9703814484403
Worth,2022,0.62000118484892,643.576484090603
Crisp,2022,0.5707203119097902,605.5804764440398
Coffee,2022,0.6501471335391734,638.3484256240192
Colquitt,2022,0.6226163814223583,722.152618504145
Brooks,2022,0.6628517492790623,830.1872357298705
Bulloch,2023,0.6974796079227644,912.5000335160204
Berrien,2023,0.6899191698234555,719.1320653040158
Wilcox,2023,0.7085848261174236,698.3183305291793
Dooly,2023,0.6740051485368055,682.6137828701479
Turner,2023,0.6674622184863128,723.7985209359258
Irwin,2023,0.6740017977514542,761.5731307533946
Mitchell,2023,0.6633341535799601,706.2659224247092
Worth,2023,0.6613149868811179,725.2865679600658
Crisp,2023,0.6598034613575617,734.0846440870456
Coffee,2023,0.6999110081341624,849.8037760609017
Colquitt,2023,0.667569610585916,683.4663928891297
Brooks,2023,0.723571086738844,907.6285326392068
Bulloch,2024,0.6889977401776753,976.2848331846128
Berrien,2024,0.7254323115577825,1097.6521024952956
Wilcox,2024,0.7368708137841049,1007.8127880454614
Dooly,2024,0.7009767452475673,872.5488207829462
Turner,2024,0.7069636375360816,1023.730616074998
Irwin,2024,0.7084180176364805,1074.312710764808
Mitchell,2024,0.7046766703463068,1013.9936640931692
Worth,2024,0.7152411052107228,973.538342946138
Crisp,2024,0.6903541545063063,947.455082993988
Coffee,2024,0.7124698065109569,983.9729674872522
Colquitt,2024,0.6979976598071047,1129.1238419545346
Brooks,2024,0.7411393566976952,1028.1293317640047
